sep = ;
Module;Occurance;Activity;Week;Day;Module Tutor;Room;Target;Actual;Pro Forma
WIA1006 - MACHINE LEARNING;2;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 10:00 AM - 11:00 AM;MUHAMMAD SHAHREEZA SAFIRUZ BIN KASSIM;Makmal Mikro 6 FSKTM (45);45;1;LINK
WIA1006 - MACHINE LEARNING;2;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 12:00 PM - 2:00 PM;AFIZAN BIN AZMAN;Dewan Kuliah 1 FSKTM (280);45;1;LINK
WIA1006 - MACHINE LEARNING;3;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 2:00 PM - 3:00 PM;LIM CHEE KAU;Makmal Mikro 1 FSKTM (50);50;0;LINK
WIA1006 - MACHINE LEARNING;3;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 12:00 PM - 2:00 PM;AFIZAN BIN AZMAN;Dewan Kuliah 1 FSKTM (280);50;0;LINK
WIA1006 - MACHINE LEARNING;4;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 2:00 PM - 3:00 PM;AMARACHUKWU FELIX EBUBEOGU;Makmal Mikro 3 FSKTM (60);60;0;LINK
WIA1006 - MACHINE LEARNING;4;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 12:00 PM - 2:00 PM;AFIZAN BIN AZMAN;Dewan Kuliah 1 FSKTM (280);60;0;LINK
WIA1006 - MACHINE LEARNING;5;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 2:00 PM - 3:00 PM;MUHAMMAD SHAHREEZA SAFIRUZ BIN KASSIM;Makmal Mikro 4 FSKTM (60);60;0;LINK
WIA1006 - MACHINE LEARNING;5;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 12:00 PM - 2:00 PM;AFIZAN BIN AZMAN;Dewan Kuliah 1 FSKTM (280);60;0;LINK
WIA1006 - MACHINE LEARNING;6;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 9:00 AM - 10:00 AM;LIM CHEE KAU;Makmal Mikro 6 FSKTM (45);45;0;LINK
WIA1006 - MACHINE LEARNING;6;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 12:00 PM - 2:00 PM;AFIZAN BIN AZMAN;Dewan Kuliah 1 FSKTM (280);45;0;LINK
WIA1006 - MACHINE LEARNING;7;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 4:00 PM - 5:00 PM;AMARACHUKWU FELIX EBUBEOGU;Makmal Lanjutan FSKTM (33);30;0;LINK
WIA1006 - MACHINE LEARNING;7;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 12:00 PM - 2:00 PM;SAW SHIER NEE;Dewan Kuliah 2 FSKTM (280);30;0;LINK
WIA1006 - MACHINE LEARNING;8;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 3:00 PM - 4:00 PM;MUHAMMAD SHAHREEZA SAFIRUZ BIN KASSIM;Makmal Mikro 4 FSKTM (60);60;0;LINK
WIA1006 - MACHINE LEARNING;8;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 12:00 PM - 2:00 PM;SAW SHIER NEE;Dewan Kuliah 2 FSKTM (280);60;0;LINK
WIA1006 - MACHINE LEARNING;9;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 5:00 PM - 6:00 PM;AMARACHUKWU FELIX EBUBEOGU;Makmal Lanjutan FSKTM (33);30;0;LINK
WIA1006 - MACHINE LEARNING;9;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 12:00 PM - 2:00 PM;SAW SHIER NEE;Dewan Kuliah 2 FSKTM (280);30;0;LINK
WIA2004 - OPERATING SYSTEMS;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 10:00 AM - 12:00 PM;SAAIDAL RAZALLI BIN AZZUHRI;Makmal Mikro 4 FSKTM (60);60;0;LINK
WIA2004 - OPERATING SYSTEMS;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 3:00 PM - 5:00 PM;SAAIDAL RAZALLI BIN AZZUHRI;Dewan Kuliah 1 FSKTM (280);60;0;LINK
WIA2004 - OPERATING SYSTEMS;10;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 3:00 PM - 5:00 PM;FAZIDAH BINTI OTHMAN;Makmal Mikro 3 FSKTM (60);60;0;LINK
WIA2004 - OPERATING SYSTEMS;10;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 3:00 PM - 5:00 PM;FAZIDAH BINTI OTHMAN;Dewan Kuliah 2 FSKTM (280);60;0;LINK
WIA2004 - OPERATING SYSTEMS;2;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 9:00 AM - 11:00 AM;POR LIP YEE @ POR KHOON SUN;Makmal Mikro 3 FSKTM (60);60;0;LINK
WIA2004 - OPERATING SYSTEMS;2;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 3:00 PM - 5:00 PM;SAAIDAL RAZALLI BIN AZZUHRI;Dewan Kuliah 1 FSKTM (280);60;0;LINK
WIA2004 - OPERATING SYSTEMS;3;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 10:00 AM - 12:00 PM;MUHAMMAD NUR FIRDAUS BIN SAHRAN;Makmal Stroustrup FSKTM (30);45;0;LINK
WIA2004 - OPERATING SYSTEMS;3;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 3:00 PM - 5:00 PM;SAAIDAL RAZALLI BIN AZZUHRI;Dewan Kuliah 1 FSKTM (280);45;0;LINK
WIA2004 - OPERATING SYSTEMS;4;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 1:00 PM - 3:00 PM;POR LIP YEE @ POR KHOON SUN;Makmal Lanjutan FSKTM (33);30;0;LINK
WIA2004 - OPERATING SYSTEMS;4;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 3:00 PM - 5:00 PM;SAAIDAL RAZALLI BIN AZZUHRI;Dewan Kuliah 1 FSKTM (280);30;0;LINK
WIA2004 - OPERATING SYSTEMS;5;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 1:00 PM - 3:00 PM;MUHAMMAD FAIZ BIN MOHD ZAKI;Makmal Lanjutan FSKTM (33);30;0;LINK
WIA2004 - OPERATING SYSTEMS;5;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 3:00 PM - 5:00 PM;FAZIDAH BINTI OTHMAN;Dewan Kuliah 2 FSKTM (280);30;0;LINK
WIA2004 - OPERATING SYSTEMS;6;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 10:00 AM - 12:00 PM;FAZIDAH BINTI OTHMAN;Makmal Mikro 2 FSKTM (37);24;0;LINK
